DISA_DIRESA;Codigo Destino;Punto_Destino;Estrategias;Responsable;Año_CD;N_CD;Referencia_SIGA;Fec_creacion_CD;Referencia_CD;Fec_pedido;AñoPECOSA;MesPECOSA;Fec_emisión_PECOSA;N_PECOSA;N_Cargo_PECOSA;Fecha_Cargo_PECOSA;Fec_salida_de_PECOSA_y_producto_del_almacen;Nombre_del_Recepcionista;Fec_de_Conciliacion;Fec_Anulacion_de_PECOSA;Anulados;CODIGO_SIGA;CODIGO_SISMED;PRODUCTO;LOTES;Fec_Vencimiento;CANTIDADES;PRECIO_UNITARIO;TOTAL;TOTAL_CALCULADO;DIFERENCIA
Dirección de Redes Integradas de Salud Lima Norte;522;HOSPITAL CARLOS LANFRANCO LA HOZ;SIS;LEONEL FRANCIS SANCHEZ;2024;12621;CD N° 12621 - 2024 - OC 10246-24 PA/MES 2/;2024-12-04;ENTREGA A DESTINO;2024-12-04;2024;12;2024-12-04;113638;13074;2024-12-04;2025-02-18;PKS DIGITAL;;;FALSE;584800090002;05694;RISPERIDONA 2 MG TAB;2101384;2027-10-31;96800;0.038746;3751.64;3750.61;1.03
011 - MINISTERIO DE SALUD;121;INSTITUTO NACIONAL DE SALUD MENTAL;SALUD MENTAL;María Bonifacio;2024;12306;CD N° 12306 - 2024  -  DISTRIBUCIÓN I TRIMESTRE 2025;2024-11-19;DISTRIBUCION I TRIMESTRE;2024-11-20;2024;11;2024-11-20;108928;12758;2024-11-20;2025-01-03;PKS DIGITAL;2025-03-25;;FALSE;584800090002;05694;RISPERIDONA 2 MG TAB;2011744;2027-01-31;41960;0.038747;1624.23;1625.82;-1.59
Dirección Regional de Salud Amazonas - Chachapoyas;725;REGION AMAZONAS-SALUD;SALUD SEXUAL Y REPRODUCTIVA;MARLON MANUEL DIAZ;2024;12240;CD N° 12240-2024 - DISTRIBUCION I TRIMESTRE 2025;2024-11-18;DISTRIBUCION I TRIMESTRE;2024-11-20;2024;11;2024-11-20;108540;12734;2024-11-20;2025-01-20;PKS DIGITAL;;;FALSE;495701980001;08054;PRESERVATIVOS SIN NONOXINOL;0020600STA;2029-01-31;64;0.120492;5.6;7.71;-2.11
011 - MINISTERIO DE SALUD;121;INSTITUTO NACIONAL DE SALUD MENTAL;SIS;LEONEL FRANCIS SANCHEZ;2024;12001;CD N° 12001 - 2024 - OC 10247-24 PA/MES 2/;2024-11-06;ENTREGA A DESTINO;2024-11-06;2024;11;2024-11-06;105066;12439;2024-11-06;2024-11-29;PKS DIGITAL;;;FALSE;584900330003;05807;SERTRALINA  50 MG TAB;2090414;2028-09-30;111210;0.08387;9326.03;9327.18;-1.15
Dirección Regional de Salud Ayacucho;774;REGION AYACUCHO-SALUD;ITS - VIH/SIDA;Edgar Luis Sullcahuaman;2024;11831;CD N° 11831-2024 - OC N° 9200-2024/ SEGUNDA ENTREGA;2024-10-25;ENTREGA A DESTINO;2024-10-25;2024;10;2024-10-25;102154;12240;2024-10-25;;PKS DIGITAL;2025-04-08;;FALSE;358600093071;51263;KIT PCR EN TIEMPO REAL PARA CUANTIFICACION DE CARGA VIRAL DE HEPATITIS B X 10 DETERMINACIONES;1001443765;2025-12-28;18;1477.0;10339;26586.0;-16247.0
Instiuciones;151;INSTITUTO NACIONAL DE SALUD;NO ESPECIFICADO;NO ESPECIFICADO;0;0;"CONTROL DE CALIDAD;REGULARIZACION GUIA CENARES/MINSA N° 139-M-2024;SEGUN CORREO Q.F.AGUSTIN ANDIA 11/10/24;ref.FET N° 4810 NEA 966-2024";;NO ESPECIFICADO;2024-10-11;2024;10;2024-10-11;97634;0;;2024-10-29;PKS DIGITAL;2025-03-20;;FALSE;582400540001;41842;DOLUTEGRAVIR + LAMIVUDINA + TENOFOVIR   50 MG + 300 MG + 300 MG;3210670;2028-04-30;180;0.502852;89.35;90.51;-1.16
011 - MINISTERIO DE SALUD;126;INSTITUTO NACIONAL DE SALUD DEL NIÑO;ITS - VIH/SIDA;Edgar Luis Sullcahuaman;2024;11119;CD N° 11119 - 2024  -  OC 10201 -  PRIMERA ENTREGA;2024-09-20;ENTREGA A DESTINO;2024-09-23;2024;9;2024-09-23;93008;11516;2024-09-23;;PKS DIGITAL;;;FALSE;358600090332;35531;KIT PARA RECUENTO DE LINFOCITOS CD4,CD8,CD3 X 50 DETERMINACIONES;12861;2025-11-30;6;5420.0;424711.2;32520.0;392191.2
Dirección de Redes Integradas de Salud Lima Sur;1685;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA SUR;NUTRICION;Bettyna Zelaya;2024;10591;CD N° 10591-2024- DISTRIBUCION IV TRIMESTRE;2024-09-02;DISTRIBUCION IV TRIMESTRE;2024-09-03;2024;9;2024-09-03;86851;10924;2024-09-03;2024-10-14;PKS DIGITAL;;;FALSE;580600050004;04586;MEBENDAZOL 500 MG TAB;23LQ067;2027-11-30;22000;0.391967;8621.65;8623.27;-1.62
Dirección Regional de Salud Ucayali;950;REGION UCAYALI-SALUD;SALUD MENTAL;Guisela Lisbeth Vidal;2024;10255;CD N° 10255 - 2024 - DISTRIBUCION IV TRIMESTRE;2024-08-16;DISTRIBUCION IV TRIMESTRE;2024-08-16;2024;8;2024-08-16;82404;10564;2024-08-16;2024-09-16;PKS DIGITAL;2025-03-19;;FALSE;584900330003;05807;SERTRALINA  50 MG TAB;2030634;2028-03-31;39000;0.08387;3269.01;3270.93;-1.92
Dirección Regional de Salud Amazonas - Chachapoyas;725;REGION AMAZONAS-SALUD;ITS - VIH/SIDA;Dennis Alfredo Sobrados;2024;9473;CD N° 9473 - 2024 - DISTRIBUCION III TRIMESTRE;2024-07-17;DISTRIBUCION III TRIMESTRE;2024-07-22;2024;7;2024-07-22;74247;9897;2024-07-22;2024-08-13;PKS DIGITAL;2025-03-19;;FALSE;495701980001;08054;PRESERVATIVOS SIN NONOXINOL;0020534STA;2028-12-31;25786;0.116948;3017.07;3015.62;1.45
