Columna;Tipo_Probable;Vacios;Pct_Vacios;Valores_Unicos;Ejemplos
DISA_DIRESA;TEXTO;0;0.0;44;Dirección de Redes Integradas de Salud Lima Este | Dirección Regional de Salud Apurimac I | Dirección Regional de Salud Puno
Codigo Destino;NUMERICO;0;0.0;281;1746 | 1497 | 920
Punto_Destino;TEXTO;0;0.0;282;HOSPITAL LIMA ESTE-VITARTE | GOB. REG. APURIMAC - RED DE SALUD VIRGEN DE COCHARCAS | REGION PUNO-SALUD CHUCUITO
Estrategias;TEXTO;411;0.29;20;SIS | ITS - VIH/SIDA | NUTRICION
Responsable;TEXTO;411;0.29;25;LEONEL FRANCIS SANCHEZ | Edgar Luis Sullcahuaman | Bettyna Zelaya
Año_CD;NUMERICO;411;0.29;1;2024
N_CD;NUMERICO;411;0.29;12763;12938 | 12429 | 12950
Referencia_SIGA;TEXTO;14;0.01;13292;CD N° 12938 - 2024 - OC 9755-24/MES 1/ | CD N° 12429-2024 - DISTRIBUCION I TRIMESTRE 2025 | CD N° 12950-2024 - OC 10655-24/MES 10/
Fec_creacion_CD;FECHA;411;0.29;278;30/12/2024 | 22/11/2024 | 19/11/2024
Referencia_CD;TEXTO;411;0.29;14;ENTREGA A DESTINO | DISTRIBUCION I TRIMESTRE | A SOLICITUD DE DIRESA (E-MAIL)
Fec_pedido;FECHA;0;0.0;285;30/12/2024 | 28/12/2024 | 27/12/2024
AñoPECOSA;NUMERICO;0;0.0;1;2024
MesPECOSA;NUMERICO;0;0.0;12;12 | 11 | 10
Fec_emisión_PECOSA;FECHA;0;0.0;283;30/12/2024 | 28/12/2024 | 27/12/2024
N_PECOSA;NUMERICO;0;0.0;118809;119384 | 119383 | 119382
N_Cargo_PECOSA;NUMERICO;411;0.29;13208;13443 | 13442 | 13441
Fecha_Cargo_PECOSA;FECHA;411;0.29;287;31/12/2024 | 30/12/2024 | 28/12/2024
Fecha_Entrega_Cargo_PECOSA;SIN_DATOS (100% vacío);140052;100.0;0;
Fec_ent_PECOSA_en_recepcion_de_almacen_Tramite;SIN_DATOS (100% vacío);140052;100.0;0;
Fec_salida_de_PECOSA_y_producto_del_almacen;FECHA;63467;45.32;214;06/01/2025 | 19/02/2025 | 17/02/2025
Fec_salida_PECOSA_y_producto_del_almacén_según_transportista_Programacion;SIN_DATOS (100% vacío);140052;100.0;0;
Fec_de_rec_en_Alm_para_atencion;SIN_DATOS (100% vacío);140052;100.0;0;
Fec_llegada_producto_a_destino_segun_transportista_Programacion;SIN_DATOS (100% vacío);140052;100.0;0;
Fec_de_llegada_a_destino_segun_DARES;SIN_DATOS (100% vacío);140052;100.0;0;
Fec_llegada_del_producto_a_destino;SIN_DATOS (100% vacío);140052;100.0;0;
Nombre_del_Recepcionista;TEXTO;300;0.21;1;PKS DIGITAL
Fec_de_Conciliacion;FECHA;43193;30.84;13;15/04/2025 | 25/03/2025 | 27/03/2025
Fec_Anulacion_de_PECOSA;FECHA;136322;97.34;232;31/12/2024 | 13/05/2025 | 27/01/2025
Anulados;TEXTO;0;0.0;2;NO | Si
CODIGO_SIGA;NUMERICO;4;0.0;1078;495701290077 | 355800020256 | 355800020251
CODIGO_SISMED;NUMERICO;33;0.02;1077;28395 | 34374 | 31100
PRODUCTO;TEXTO;4;0.0;1078;EQUIPO MICROGOTERO CON CAMARA GRADUADA DE 100 ML | PRUEBA RAPIDA INMUNOCROMATOGRAFICA PARA VIH 4TA GENERACION | PRUEBA RÁPIDA PARA VIH 1-2 Y SÍFILIS
LOTES;TEXTO;182;0.13;7110;240815 | 240930 | 240923
Fec_Vencimiento;FECHA;182;0.13;562;31/08/2029 | 30/09/2029 | 31/07/2029
CANTIDADES;NUMERICO;0;0.0;7287;3000 | 3500 | 725
PRECIO_UNITARIO;NUMERICO;2;0.0;2371;2.308 | 3.35 | 1.327
TOTAL;NUMERICO;316;0.23;34812;6924 | 8078 | 1673.3
