COD_UE;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD
879;MADRE DE DIOS;TAHUAMANU;TAHUAMANU;-11.867186;-69.137744
884;MOQUEGUA;MARISCAL NIETO;CARUMAS;-16.824382;-70.678628
1645;HUANCAVELICA;TAYACAJA;PAMPAS;-12.483316;-74.851399
919;PUNO;PUNO;PLATERIA;-16.060205;-69.871908
1223;ICA;ICA;PACHACUTEC;-14.152347;-75.691143
1014;ICA;CHINCHA;EL CARMEN;-13.549620;-76.114068
1654;CAJAMARCA;SAN IGNACIO;LA COIPA;-5.431870;-78.945930
1247;HUANUCO;HUANUCO;QUISQUI;-9.905719;-76.388902
1362;AYACUCHO;HUAMANGA;CARMEN ALTO;-13.182061;-74.219985
827;JUNIN;TARMA;TARMA;-11.468476;-75.686224
1046;AYACUCHO;PAUCAR DEL SARA SARA;SAN JOSE DE USHUA;-15.224943;-73.226915
920;PUNO;CHUCUITO;ZEPITA;-16.421401;-69.084193
968;PUNO;EL COLLAO;CAPASO;-17.182888;-69.744257
970;TACNA;TACNA;TACNA;-18.015160;-70.255243
1622;TACNA;TACNA;PALCA;-17.529692;-69.580678
918;PUNO;HUANCANE;ROSASPATA;-15.152932;-69.419457
1025;AYACUCHO;LUCANAS;CABANA;-14.287659;-73.966230
1648;HUANCAVELICA;HUANCAVELICA;YAULI;-12.777584;-74.762825
1007;PUNO;SANDIA;SAN JUAN DEL ORO;-14.219371;-69.153756
1015;ICA;NAZCA;NAZCA;-14.827390;-74.942657
967;PUNO;YUNGUYO;ANAPIA;-16.317877;-68.854838
889;PASCO;DANIEL ALCIDES CARRION;SANTA ANA DE TUSI;-10.545288;-76.337229
1006;PUNO;CARABAYA;SAN GABAN;-13.315435;-70.307995
1759;PUNO;SAN ANTONIO DE PUTINA;ANANEA;-14.677650;-69.541158
1457;ICA;PALPA;PALPA;-14.530893;-75.183533
826;JUNIN;JAUJA;JULCAN;-11.761455;-75.436796
1675;HUANUCO;PUERTO INCA;HONORIA;-8.660940;-74.800060
1621;PUNO;LAMPA;CABANILLA;-15.580532;-70.297795
1196;ICA;ICA;ICA;-14.056812;-75.729817
1195;ICA;PISCO;INDEPENDENCIA;-13.693170;-76.024822
1685;LIMA;LIMA;CHORRILLOS;-12.159270;-77.020013
788;CAJAMARCA;JAEN;JAEN;-5.867259;-78.927472
725;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;-6.349642;-77.323931
1222;AREQUIPA;AREQUIPA;CERRO COLORADO;-16.345008;-71.599947
1292;LIMA;HUARAL;ATAVILLOS ALTO;-11.235843;-76.655338
1684;LIMA;LIMA;COMAS;-11.918678;-77.025828
785;CAJAMARCA;CAJAMARCA;CAJAMARCA;;
1647;HUANCAVELICA;ANGARAES;LIRCAY;-13.135878;-74.676200
1671;CAJAMARCA;SANTA CRUZ;YAUYUCAN;-6.722112;-78.839153
1404;LIMA;HUAROCHIRI;CALLAHUANCA;-11.827730;-76.620340
500256;PIURA;SULLANA;SULLANA;-4.898424;-80.687100
1300;HUANCAVELICA;CHURCAMPA;PACHAMARCA;-12.525760;-74.516946
1646;HUANCAVELICA;ACOBAMBA;MARCAS;-12.870298;-74.333473
1662;CAJAMARCA;HUALGAYOC;HUALGAYOC;-6.706753;-78.618250
950;UCAYALI;PADRE ABAD;NESHUYA;-8.639854;-74.964487
1321;AYACUCHO;HUANTA;SANTILLANA;-12.625577;-74.195555
1059;SAN MARTIN;BELLAVISTA;BAJO BIAVO;-7.236299;-76.255958
830;JUNIN;JUNIN;CARHUAMAYO;-10.918516;-76.051539
1285;LIMA;CANTA;CANTA;-11.521742;-76.644820
1286;LIMA;HUAURA;SAYAN;-11.218718;-77.311470
1422;LAMBAYEQUE;CHICLAYO;CHICLAYO;-6.761813;-79.863203
1489;AYACUCHO;LA MAR;CHUNGUI;-13.274732;-73.611317
1686;LIMA;LIMA;ATE;-12.069480;-76.978916
787;CAJAMARCA;CUTERVO;SOCOTA;-6.232293;-78.654123
1454;HUANUCO;HUAMALIES;TANTAMAYO;-9.397958;-76.703854
1341;UCAYALI;PADRE ABAD;IRAZOLA;-9.115980;-75.251240
1497;APURIMAC;CHINCHEROS;RANRACANCHA;-13.520302;-73.564052
786;CAJAMARCA;CHOTA;LAJAS;-6.560252;-78.739119
470;TACNA;TACNA;CORONEL GREGORIO ALBARRACIN L.;-18.024643;-70.235647
740;ANCASH;HUARAZ;INDEPENDENCIA;-9.551784;-77.568410
746;ANCASH;HUARI;PONTO;-9.356326;-77.017096
845;LA LIBERTAD;TRUJILLO;TRUJILLO;-8.115249;-79.027689
823;JUNIN;HUANCAYO;HUANCAYO;-12.055296;-75.254646
900;PIURA;PIURA;LAS LOMAS;-4.659668;-80.348371
891;PASCO;OXAPAMPA;POZUZO;-9.849315;-75.581653
1664;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;-3.739122;-77.836299
930;SAN MARTIN;BELLAVISTA;BAJO BIAVO;-7.132922;-76.166522
854;LA LIBERTAD;TRUJILLO;HUANCHACO;-8.091692;-79.075390
1660;UCAYALI;CORONEL PORTILLO;CALLERIA;-8.323312;-74.501210
952;UCAYALI;CORONEL PORTILLO;YARINACOCHA;-8.392862;-74.582617
1129;CUSCO;ESPINAR;ESPINAR;-14.789585;-71.412125
1026;PIURA;MORROPON;BUENOS AIRES;-5.223433;-80.025824
871;LORETO;ALTO AMAZONAS;BALSAPUERTO;-5.876444;-76.355977
870;LORETO;MAYNAS;BELEN;-3.766525;-73.264274
132;LIMA;LIMA;EL AGUSTINO;-12.039969;-76.992582
829;JUNIN;SATIPO;SATIPO;-11.131735;-74.451969
1138;LIMA;LIMA;LURIGANCHO;-11.934195;-76.693495
1498;APURIMAC;GRAU;MARISCAL GAMARRA;-13.839938;-72.577815
1500;APURIMAC;COTABAMBAS;COYLLURQUI;-13.862319;-72.398673
1391;LORETO;DATEM DEL MARA?ON;PASTAZA;-4.316526;-76.706194
1302;HUANCAVELICA;HUAYTARA;SANTIAGO DE CHOCORVOS;-13.858010;-75.186680
1172;MOQUEGUA;ILO;ILO;-17.652684;-71.336348
810;HUANUCO;HUANUCO;HUANUCO;-9.930784;-76.237222
860;LAMBAYEQUE;CHICLAYO;OYOTUN;-6.849787;-79.352660
1738;LA LIBERTAD;PATAZ;SANTIAGO DE CHALLAS;-8.425768;-77.388010
851;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;-7.757082;-78.004592
1667;CALLAO;CALLAO;BELLAVISTA;-12.062690;-77.133206
1714;LORETO;LORETO;TROMPETEROS;-3.692648;-75.583932
1316;CALLAO;CALLAO;BELLAVISTA;-12.061717;-77.106338
1224;JUNIN;HUANCAYO;CHILCA;-12.077035;-75.205151
1350;AMAZONAS;UTCUBAMBA;JAMALCA;-5.821601;-78.274916
1615;JUNIN;CHUPACA;SAN JUAN DE YSCOS;-12.098853;-75.293664
1672;LORETO;UCAYALI;SARAYACU;-6.031940;-74.853408
